"path";"id";"parent_id";"level";"object_id";"object_type";"query_status";"query_time";"query_type";"name";"message"
"334537120071993_1428422860683408";"2";"1";"1";"334537120071993_1428422860683408";"data";"fetched (200)";"2020-06-17 23:11:07.797055";"Facebook:/<page-id>/posts";"";"#ActNOW Episode - Entertainment #WINNER2020  #ActNow #WINNER2020 #ModernMonetaryTheory #UB #Mongolia #NewEra #Hollywood #MovieIndustry #NOTMeUs"
"334537120071993_1428422860683408/1428422860683408_1428433707348990";"137";"2";"2";"1428422860683408_1428433707348990";"data";"fetched (200)";"2020-06-17 23:11:35.811189";"Facebook:/<post-id>/comments";"";"Maybe it seems little bit odd for some people who dont know him but i think it will come true in the future big like sir"
"334537120071993_1428422860683408/1428422860683408_1428433707348990/1428422860683408_1428429067349454";"138";"2";"2";"1428422860683408_1428429067349454";"data";"fetched (200)";"2020-06-17 23:11:35.811189";"Facebook:/<post-id>/comments";"";"Uzegnii huvisgal hiih tsag ni bolsoon amjilt👏👍💪"
"334537120071993_1428422860683408/1428422860683408_1428433707348990/1428422860683408_1428430027349358";"139";"2";"2";"1428422860683408_1428430027349358";"data";"fetched (200)";"2020-06-17 23:11:35.811189";"Facebook:/<post-id>/comments";"";"ямар гоё юм бэ бүүр нэг сэтгэл сэргэчлээ.. "
"334537120071993_1428422860683408/1428422860683408_1428433707348990/1428422860683408_1428429594016068";"140";"2";"2";"1428422860683408_1428429594016068";"data";"fetched (200)";"2020-06-17 23:11:35.811189";"Facebook:/<post-id>/comments";"";"Bi taniig demjihdee belen bgaa shuu mini moroodol bn ymr goy video we amjilt "
"334537120071993_1428422860683408/1428422860683408_1428433707348990/1428422860683408_1428432277349133";"141";"2";"2";"1428422860683408_1428432277349133";"data";"fetched (200)";"2020-06-17 23:11:35.811189";"Facebook:/<post-id>/comments";"";"Zaawal yalaarai taniig l harj bgaashde hu amjilt2 chadhaara demjne shuu 🙂"
"334537120071993_1428422860683408/1428422860683408_1428433707348990/1428422860683408_1428446174014410";"142";"2";"2";"1428422860683408_1428446174014410";"data";"fetched (200)";"2020-06-17 23:11:35.811189";"Facebook:/<post-id>/comments";"";"Ard tvmen ymr bgaag ene hun ih sudaljee uralgiin taldaa manaih ch gadaaduudaas tutku hiineshdee uugna "
"334537120071993_1428422860683408/1428422860683408_1428433707348990/1428422860683408_1428429424016085";"143";"2";"2";"1428422860683408_1428429424016085";"data";"fetched (200)";"2020-06-17 23:11:35.811189";"Facebook:/<post-id>/comments";"";"монголын чадварлаг жүжигчидээ дэлхийн тавцангаас үзнэ гэдэг их сайхан зүйл болно байхаа "
"334537120071993_1428422860683408/1428422860683408_1428433707348990/1428422860683408_1428432970682397";"144";"2";"2";"1428422860683408_1428432970682397";"data";"fetched (200)";"2020-06-17 23:11:35.811189";"Facebook:/<post-id>/comments";"";"Шоу интертаймент яах вэ? энэ сургууль цэцэрлэгэ боловсролын тал дээр дорвитой юм хэлээд өгөөч???"
"334537120071993_1428422860683408/1428422860683408_1428433707348990/1428422860683408_1428448467347514";"145";"2";"2";"1428422860683408_1428448467347514";"data";"fetched (200)";"2020-06-17 23:11:35.811189";"Facebook:/<post-id>/comments";"";"Tand ih olon hun naidaj bgaa shuu zaawal yalaarai Amjilt husie 🤗"
"334537120071993_1428422860683408/1428422860683408_1428433707348990/1428422860683408_1428429170682777";"146";"2";"2";"1428422860683408_1428429170682777";"data";"fetched (200)";"2020-06-17 23:11:35.811189";"Facebook:/<post-id>/comments";"";"Amjilt2 ta hamgiin shildeg l n shuu ger bvleerei demjij bna "
"334537120071993_1428422860683408/1428422860683408_1428433707348990/1428422860683408_1428448220680872";"147";"2";"2";"1428422860683408_1428448220680872";"data";"fetched (200)";"2020-06-17 23:11:35.811189";"Facebook:/<post-id>/comments";"";"Уг нь нийгмийг залж түрүүлж урд нь алхаж явдаг зүйл урлаг юм байгаам шд."
"334537120071993_1428422860683408/1428422860683408_1428433707348990/1428422860683408_1428429030682791";"148";"2";"2";"1428422860683408_1428429030682791";"data";"fetched (200)";"2020-06-17 23:11:35.811189";"Facebook:/<post-id>/comments";"";"Монголын холливүүд ваая янзтай сонсогджий ш дээ алийн болгон сумын сэтгэлгээтэй байх уу дээ "
"334537120071993_1428422860683408/1428422860683408_1428433707348990/1428422860683408_1428433184015709";"149";"2";"2";"1428422860683408_1428433184015709";"data";"fetched (200)";"2020-06-17 23:11:35.811189";"Facebook:/<post-id>/comments";"";"Ta zaawal yalaarai amjilt2 tanid ih naidaj bgaa shuu 👋🏻"
"334537120071993_1428422860683408/1428422860683408_1428433707348990/1428422860683408_1428429830682711";"150";"2";"2";"1428422860683408_1428429830682711";"data";"fetched (200)";"2020-06-17 23:11:35.811189";"Facebook:/<post-id>/comments";"";"Үзгээр бүгдийг өөрчлье"
"334537120071993_1428422860683408/1428422860683408_1428433707348990/1428422860683408_1428449810680713";"151";"2";"2";"1428422860683408_1428449810680713";"data";"fetched (200)";"2020-06-17 23:11:35.811189";"Facebook:/<post-id>/comments";"";"гэр бүлээрээ дэмжиж байгаа.. та бид төгс өөрчлөлтийг хийж чаднаа"
"334537120071993_1428422860683408/1428422860683408_1428433707348990/1428422860683408_1428440400681654";"152";"2";"2";"1428422860683408_1428440400681654";"data";"fetched (200)";"2020-06-17 23:11:35.811189";"Facebook:/<post-id>/comments";"";"Үзэгний хувьсгалд нэгдэнэ"
"334537120071993_1428422860683408/1428422860683408_1428433707348990/1428422860683408_1428443227348038";"153";"2";"2";"1428422860683408_1428443227348038";"data";"fetched (200)";"2020-06-17 23:11:35.811189";"Facebook:/<post-id>/comments";"";"Wow ymar saihan sonsogdoj bna bvhel talaara uuruur setgej handaj bnshvv"
"334537120071993_1428422860683408/1428422860683408_1428433707348990/1428422860683408_1428450564013971";"154";"2";"2";"1428422860683408_1428450564013971";"data";"fetched (200)";"2020-06-17 23:11:35.811189";"Facebook:/<post-id>/comments";"";"Залуус бид эх орноо өөрчлөх түүчээ. Таныг хүндэлж бас дэмждэг шүү. Амжилт"
"334537120071993_1428422860683408/1428422860683408_1428433707348990/1428422860683408_1428450597347301";"155";"2";"2";"1428422860683408_1428450597347301";"data";"fetched (200)";"2020-06-17 23:11:35.811189";"Facebook:/<post-id>/comments";"";"дэмжвэл дэмжсэн шиг дэмжицгээе"
"334537120071993_1428422860683408/1428422860683408_1428433707348990/1428422860683408_1428450184014009";"156";"2";"2";"1428422860683408_1428450184014009";"data";"fetched (200)";"2020-06-17 23:11:35.811189";"Facebook:/<post-id>/comments";"";"Ta bol hamgiin shildeg n shuu 😌"
"334537120071993_1428422860683408/1428422860683408_1428433707348990/1428422860683408_1428429420682752";"157";"2";"2";"1428422860683408_1428429420682752";"data";"fetched (200)";"2020-06-17 23:11:35.811189";"Facebook:/<post-id>/comments";"";"Хувьдаа дэмждэг шүү таныг амжилт хүсье."
"334537120071993_1428422860683408/1428422860683408_1428433707348990/1428422860683408_1428431644015863";"158";"2";"2";"1428422860683408_1428431644015863";"data";"fetched (200)";"2020-06-17 23:11:35.811189";"Facebook:/<post-id>/comments";"";"Ger bvleere demjij bgaa shu hicheegeerei 💪🏻"
